objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"1989: Jesień Narodów","26997","0","0","0","1","0","0","0","0","0","0","0","3","","35","","","","54544776","6.63937","7.7531","3.2908","1010","4723","thing","1989: Dawn of Freedom","2","2","150","150","150","2013","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Bard Centrum Gier","Polish","2013","Polish edition"
"5-Minute Dungeon","207830","0","0","0","1","0","0","0","0","0","0","0","3","","39","","","","104314824","6.58902","6.90536","1.1211","1106","22422","thing","5-Minute Dungeon","2","5","30","30","5","2021","2,3,4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Spin Master Ltd.","Polish","2021","Polish edition"
"51. Stan: Ultimate Edition","357726","0","0","0","1","0","0","0","0","0","0","0","3","","205","","","","111551390","6.61645","8.1208","2.7213","0","4442","thing","51st State: Ultimate Edition","1","4","75","75","75","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Portal Games","Polish","2023","Polish edition"
"6. bierze","432","0","0","0","1","0","0","0","0","0","0","0","3","","20","","","","70001748","6.85431","6.9809","1.1901","673","48568","thing","Take 5","2","10","45","45","45","2013","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","G3","Polish","2013","Polish third edition"
"7 Cudów Świata","68448","10","0","0","1","0","0","0","0","0","0","0","3","","103","","","","42717427","7.55337","7.66575","2.3148","111","152563","thing","7 Wonders","2","7","30","30","30","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rebel Sp. z o.o.","Polish","2011","Polish edition 2011"
"7 Cudów Świata: Armada","247315","0","0","0","1","0","0","0","0","0","0","0","3","","40","","","","79110967","6.81139","7.96821","2.7541","0","10530","thing","7 Wonders: Armada","3","7","40","40","40","2018","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.","Polish","2018","Polish edition"
"7 Cudów Świata: Budowle","378839","0","0","0","1","0","0","0","0","0","0","0","3","","37","","","","125464507","5.81079","7.45694","1.8","0","3020","thing","7 Wonders: Edifice","3","7","30","30","30","2023","4,5,6,7","5,6","10+","","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.; Repos Production","Polish","2023","Polish edition"
"7 Cudów Świata: Liderzy","92539","9","0","0","1","0","0","0","0","0","0","0","3","","51","","","","42717429","7.46811","7.81563","2.2751","0","37014","thing","7 Wonders: Leaders","2","7","40","40","40","2016","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.; Repos Production","Polish","2016","Polish edition"
"7 Cudów Świata: Liderzy – Zestaw jubileuszowy","231167","0","0","0","1","0","0","0","0","0","0","0","3","","9","","","","69118829","6.21231","7.84534","2.2667","0","5252","thing","7 Wonders: Leaders Anniversary Pack","2","7","30","30","30","2017","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.","Polish","2017","Polish edition"
"7 Cudów Świata: Miasta","111661","9","0","0","1","0","0","0","0","0","0","0","3","","49","","","","68608265","7.35994","7.79874","2.3467","0","31657","thing","7 Wonders: Cities","2","8","40","40","40","2016","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Rebel Sp. z o.o.","Polish","2016","Polish edition"
